Link,UPC Code,table_data 1,table_data 2,table_data 3,table_data 4,table_data 5,table_data 6,table_data 7,table_data 8,table_data 9,table_data 10,table_data 11,table_data 12,table_data 13,table_data 14,table_data 15,table_data 16,table_data 17,table_data 18,table_data 19,table_data 20,table_data 21,table_data 22,table_data 23,table_data 24,table_data 25,table_data 26,table_data 27,table_data 28,table_data 29,table_data 30
https://timken-us.ptplace.com/productDetail/_pn=470050_sc=100074221?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.983 in,Shaft diameter (inch),1.281 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470064_sc=100086599?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.437 in,Shaft diameter (inch),1.562 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470066_sc=100086600?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.437 in,Shaft diameter (inch),1.625 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470077_sc=100086602?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.758 in,Shaft diameter (inch),1.5 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470086_sc=100086603?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.062 in,Shaft diameter (inch),1.687 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470120_sc=100086607?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.499 in,Shaft diameter (inch),1 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.39 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470135_sc=100086608?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.125 in,Shaft diameter (inch),1.375 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470162_sc=100086610?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2 in,Shaft diameter (inch),1.187 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470195_sc=100086615?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),0.999 in,Shaft diameter (inch),0.312 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470199_sc=100086616?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),0.999 in,Shaft diameter (inch),0.437 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470211_sc=100086618?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.624 in,Shaft diameter (inch),0.75 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470219_sc=100086619?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.624 in,Shaft diameter (inch),1 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470230_sc=100086620?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.752 in,Shaft diameter (inch),1 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470236_sc=100086621?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.874 in,Shaft diameter (inch),1.125 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470245_sc=100101322?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.125 in,Shaft diameter (inch),1.25 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470328_sc=100101323?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.686 in,Shaft diameter (inch),1.187 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470334_sc=100101324?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.686 in,Shaft diameter (inch),1.75 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470336?reference=PartSearchListLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470354_sc=100101328?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),3.189 in,Shaft diameter (inch),2.187 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470358_sc=100101329?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.374 in,Shaft diameter (inch),1.625 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470361_sc=100101330?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.561 in,Shaft diameter (inch),1.75 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470362_sc=100101331?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.125 in,Shaft diameter (inch),1.156 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470380_sc=100101332?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.375 in,Shaft diameter (inch),1.5 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.312 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470390_sc=100101333?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.874 in,Shaft diameter (inch),0.75 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.25 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470394_sc=100101334?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.125 in,Shaft diameter (inch),1.5 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470398_sc=100101335?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.374 in,Shaft diameter (inch),0.875 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.406 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470403_sc=100101336?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.062 in,Shaft diameter (inch),1.375 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470409_sc=100101337?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.412 in,Shaft diameter (inch),1.937 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.468 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470451_sc=100101338?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.062 in,Shaft diameter (inch),1.5 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.437 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470460_sc=100101339?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.561 in,Shaft diameter (inch),1.687 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470487_sc=100101340?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.686 in,Shaft diameter (inch),1.5 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.5 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470515_sc=100101343?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),1.561 in,Shaft diameter (inch),0.812 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
https://timken-us.ptplace.com/productDetail/_pn=470530_sc=100111374?reference=PartSearchListLink,,Brand,Timken,Housing bore diameter (inch),2.996 in,Shaft diameter (inch),2 in,Type,Oil Seal,Style,47,Design,M2LS47,Outside Diameter,METAL,Lip Contact,MULTI,Lip material,S (NBR - Nitrile),Garter Spring,YES,Width,0.375 in,,,,,,,,
